wrist_roll_L,wrist_roll_F,grip_L,grip_F,raw_L,raw_F
-26.7,-26.9,19.7,17.4,2747,1174
-26.7,-26.9,20.7,18.2,2735,1184
-26.7,-26.9,21.6,19.1,2721,1196
-26.8,-26.9,22.4,20.0,2709,1208
-26.8,-26.9,23.1,21.0,2698,1221
-26.9,-26.9,23.9,21.7,2685,1230
-27.0,-26.9,25.0,22.6,2669,1242
-27.0,-26.9,25.9,23.5,2654,1254
-27.1,-27.0,26.5,24.4,2646,1264
-27.1,-27.0,27.1,25.4,2637,1276
-27.1,-27.0,27.2,26.1,2636,1286
-27.2,-27.0,27.2,26.7,2635,1293
-27.2,-27.0,27.2,26.8,2634,1295
-27.4,-27.0,27.4,26.8,2631,1295
-27.5,-27.1,27.8,26.8,2627,1295
-27.7,-27.1,27.8,26.9,2626,1296
-27.8,-27.2,27.8,27.0,2626,1297
-28.1,-27.3,27.8,27.0,2626,1297
-28.3,-27.5,28.0,27.1,2623,1298
-28.4,-27.7,28.5,27.1,2614,1298
-28.6,-27.8,29.4,27.3,2600,1301
-28.9,-28.0,30.3,27.9,2587,1308
-29.1,-28.1,31.1,28.6,2573,1319
-29.3,-28.3,32.0,29.6,2561,1331
-29.6,-28.5,32.8,30.5,2549,1343
-29.8,-28.7,33.4,31.5,2538,1356
-30.1,-29.0,34.3,32.5,2525,1367
-30.3,-29.2,35.0,33.2,2515,1377
-30.5,-29.6,35.6,34.2,2496,1401
-31.2,-30.1,37.4,35.1,2476,1401
-31.5,-30.4,38.1,35.3,2463,1406
-31.7,-30.6,38.9,36.0,2452,1414
-32.2,-30.8,40.1,36.9,2436,1425
-32.6,-31.0,41.4,38.0,2413,1439
-33.2,-31.3,42.8,39.2,2394,1455
-33.7,-31.7,44.1,40.8,2373,1475
-34.3,-32.2,45.6,42.1,2349,1493
-34.8,-32.6,47.2,43.6,2324,1511
-35.2,-33.0,49.0,44.9,2294,1528
-35.7,-33.5,51.7,46.5,2256,1548
-36.2,-34.0,54.3,48.2,2213,1571
-36.6,-34.5,57.2,50.0,2170,1595
-37.0,-35.0,59.0,52.5,2144,1625
-37.2,-35.4,59.3,54.5,2140,1652
-37.4,-35.9,59.3,56.9,2140,1682
-37.5,-36.4,59.3,58.3,2140,1700
-37.5,-36.7,59.3,58.7,2140,1704
-37.5,-36.9,59.3,58.8,2140,1705
-37.4,-37.1,59.3,58.8,2140,1705
-37.4,-37.2,59.3,58.8,2140,1705
-37.4,-37.3,59.4,58.8,2139,1705
-37.4,-37.4,59.5,58.8,2136,1705
-37.4,-37.4,59.7,58.8,2134,1706
-37.4,-37.4,59.7,58.9,2134,1707
-37.4,-37.4,59.7,58.9,2133,1707
-37.4,-37.4,59.7,58.9,2133,1707
-37.4,-37.4,59.7,58.9,2133,1707
-37.4,-37.3,59.7,58.9,2133,1707
-37.6,-37.3,59.7,58.9,2133,1707
-37.7,-37.3,59.7,58.9,2133,1707
-37.6,-37.4,59.7,58.9,2133,1707
-37.5,-37.4,59.7,58.9,2133,1707
-37.4,-37.4,59.7,58.9,2133,1707
-37.4,-37.4,59.7,58.9,2133,1707
-37.4,-37.4,59.7,58.9,2133,1707
-37.4,-37.4,59.7,58.9,2134,1707
-37.4,-37.4,59.7,58.9,2135,1707
-37.3,-37.4,59.5,58.9,2136,1707
-37.3,-37.4,59.5,58.9,2137,1707
